School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State,Primary URL,Secondary URL,Primary Icon
Wingate University,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Research Universities,"Wingate, NC",www.wingate.edu,www.wingatebulldogs.com,319_319.site.png
University of North Carolina at Pembroke,Division II,Division II,Non-DI,Active Member,Peach Belt Conference,Peach Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Pembroke, NC",www.uncp.edu,www.uncpbraves.com,320_320.site.png
Davidson College,Division I,Division I,DI FCS,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Private,Baccalaureate Colleges,"Davidson, NC",www.davidson.edu,www.davidsonwildcats.com,321_321.favicon.ico
Catawba College,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Salisbury, NC",www.catawba.edu,www.gocatawbaindians.com,322_322.favicon.ico
High Point University,Division I,Division I,DI Subdivision,Active Member,Big South Conference,Big South Conference,Non-HBCU,Private,Baccalaureate Colleges,"High Point, NC",www.highpoint.edu,www.highpointpanthers.com,323_323.favicon.ico
Livingstone College,Division II,Division II,Non-DI,Active Member,Central Intercollegiate Athletic Association,Central Intercollegiate Athletic Association,HBCU,Private,Baccalaureate Colleges,"Salisbury, NC",athletics.livingstone.edu,www.livingstone.edu/,
Salem College (North Carolina),Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Winston-Salem, NC",www.salem.edu/,www.salem.edu/athletics,325_325.android-chrome-192x192.png
Fayetteville State University,Division II,Division II,Non-DI,Active Member,Central Intercollegiate Athletic Association,Central Intercollegiate Athletic Association,HBCU,Public,Master's Colleges & Universities,"Fayetteville, NC",fsubroncos.com,www.uncfsu.edu,326_326.site.png
Wake Forest University,Division I,Division I,DI FBS,Active Member,Atlantic Coast Conference,Atlantic Coast Conference,Non-HBCU,Private,Research Universities,"Winston-Salem, NC",wakeforestsports.collegesports.com/,www.wfu.edu/,
East Carolina University,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Greenville, NC",www.ecu.edu,www.ecupirates.com,328_328.favicon.ico
Greensboro College,Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Greensboro, NC",www.greensboro.edu,www.greensborocollegesports.com,329_329.site.png
Duke University,Division I,Division I,DI FBS,Active Member,Atlantic Coast Conference,Atlantic Coast Conference,Non-HBCU,Private,Research Universities,"Durham, NC",www.duke.edu,www.goduke.com,330_330.site.png
