Iona College,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"New Rochelle, NY",www.icgaels.com,www.iona.edu,564_564.site.png
York College (New York),Division III,Division III,Non-DI,Active Member,City University of New York Athletic Conference,City University of New York Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Jamaica, NY",www.york.cuny.edu,www.yorkathletics.com,566_566.site.png
U.S. Merchant Marine Academy,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Baccalaureate Colleges,"Kings Point, NY",usmmasports.com,www.usmma.edu,567_567.favicon.ico
"Purchase College, State University of New York",Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Baccalaureate Colleges,"Purchase, NY",www.purchase.edu,www.purchasecollegeathletics.com,568_568.site.png
Manhattanville College,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Master's Colleges & Universities,"Purchase, NY",www.govaliants.com,www.mville.edu,569_569.favicon.ico
Hofstra University,Division I,Division I,DI Subdivision,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Private,Research Universities,"Hempstead, NY",www.gohofstra.com,www.hofstra.edu,571_571.favicon.ico
New York Institute of Technology,Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Old Westbury, NY",www.nyit.edu,www.nyit.edu/athletics,572_572.site.png
State University College at Old Westbury,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Public,Master's Colleges & Universities,"Old Westbury, NY",www.oldwestbury.edu,www.oldwestburypanthers.com,573_573.site.png
Mercy College,Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Dobbs Ferry, NY",www.mercy.edu,www.mercyathletics.com,576_576.site.png
Sarah Lawrence College,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Baccalaureate Colleges,"Bronxville, NY",www.gogryphons.com,www.sarahlawrence.edu,577_577.site.png
Concordia College (New York),Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Bronxville, NY",www.concordia-ny.edu,www.concordiaClippers.com,578_578.favicon.ico
College of Mount Saint Vincent,Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Master's Colleges & Universities,"Bronx, NY",cmsvathletics.com/,www.mountsaintvincent.edu,579_579.site.png
Ramapo College,Division III,Division III,Non-DI,Active Member,New Jersey Athletic Conference,New Jersey Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Mahwah, NJ",www.ramapo.edu,www.ramapoathletics.edu,580_580.17216059398_034c188d58_o-spring.jpg
Pace University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Research Universities,"Pleasantville, NY",www.pace.edu,www.paceuathletics.com,581_581.site.png
Stony Brook University,Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Stony Brook, NY",www.stonybrook.edu,www.stonybrookathletics.com,582_582.site.png
St. Joseph's College (Long Island),Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Master's Colleges & Universities,"Patchogue, NY",www.goldeneagles.com,www.sjcny.edu/,583_583.favicon-16x16.png
Fairfield University,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Fairfield, CT",fairfield.edu,fairfieldstags.com,585_585.favicon.ico
Western Connecticut State University,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Danbury, CT",www.wcsu.edu/,www.wcsuathletics.com,586_586.westconnathletics.com
Southern Connecticut State University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Public,Master's Colleges & Universities,"New Haven, CT",www.southernct.edu/,www.southernctowls.com,587_587.site.png
University of New Haven,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"West Haven, CT",www.newhaven.edu/,www.newhavenchargers.com,588_588.favicon.ico
Mitchell College,Division III,Division III,Non-DI,Active Member,New England Collegiate Conference,New England Collegiate Conference,Non-HBCU,Private,Baccalaureate Colleges,"New London, CT",www.mitchell.edu,www.mitchellathletics.com,589_589.thumbnail_default.jpg
Quinnipiac University,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Research Universities,"Hamden, CT",www.quinnipiac.edu,www.quinnipiacbobcats.com,591_591.favicon.ico
Post University,Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Waterbury, CT",www.post.edu,www.posteagles.com,592_592.site.png
Wesleyan University (Connecticut),Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Middletown, CT",www.wesleyan.edu/,www.wesleyan.edu/athletics,594_594.site.png
Eastern Connecticut State University,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Willimantic, CT",gowarriorathletics.com,www.easternct.edu,595_595.site.png
Trinity College (Connecticut),Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Hartford, CT",www.bantamsports.com,www.trincoll.edu,596_596.bantamsports.com
University of Hartford,Division I,Division I,DI Subdivision,Active Member,America East Conference,America East Conference,Non-HBCU,Private,Research Universities,"West Hartford, CT",www.hartford.edu,www.hartfordhawks.com,598_598.favicon.ico
University of Connecticut,Division I,Division I,DI FBS,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Storrs, CT",www.uconn.edu,www.uconnhuskies.com,599_599.favicon.ico
University of Rhode Island,Division I,Division I,DI FCS,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Public,Research Universities,"Kingston, RI",www.gorhody.com,www.uri.edu,601_601.site.png
Brown University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Providence, RI",brownbears.com,www.brown.edu,605_605.site.png
"University of Massachusetts, Dartmouth",Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Research Universities,"North Dartmouth, MA",www.corsairathletics.com,www.umassd.edu,607_607.site.png
Mount Saint Mary College (New York),Division III,Division III,Non-DI,Active Member,Skyline Conference,Skyline Conference,Non-HBCU,Private,Master's Colleges & Universities,"Newburgh, NY",www.msmc.edu/,www.msmcknights.com/,610_610.favicon.ico
Vassar College,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Poughkeepsie, NY",www.vassar.edu,www.vassarathletics.com/,611_611.site.png
State University of New York at New Paltz,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"New Paltz, NY",www.newpaltz.edu/,www.nphawks.com,612_612.site.png
Marist College,Division I,Division I,DI FCS,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Poughkeepsie, NY",www.GoRedFoxes.com,www.marist.edu,613_613.favicon.ico
Bard College,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Annandale-On-Hudson, NY",www.bard.edu,www.bardathletics.com,614_614.site.png
U.S. Military Academy,Division I,Division I,DI FBS,Active Member,Patriot League,Patriot League,Non-HBCU,Public,Baccalaureate Colleges,"West Point, NY",www.goArmyWestPoint.com,www.usma.edu/,615_615.site.png
Providence College,Division I,Division I,DI Subdivision,Active Member,Big East Conference,Big East Conference,Non-HBCU,Private,Master's Colleges & Universities,"Providence, RI",www.friars.com,www.providence.edu/,616_616.site.png
Wheaton College (Massachusetts),Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Norton, MA",athletics.wheatoncollege.edu/,www.wheatoncollege.edu/,617_617.favicon-194x194.png
Molloy College,Division II,Division II,Non-DI,Active Member,East Coast Conference,East Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Rockville Centre, NY",www.molloy.edu/,www.molloylions.com,619_619.favicon.ico
Dean College,Division III,Division III,Non-DI,Provisional Member,New England Collegiate Conference,New England Collegiate Conference,Non-HBCU,Private,Baccalaureate Colleges,"Franklin, MA",www.dean.edu,www.deanbulldogs.com,621_621.favicon-194x194.png
Smith College,Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Northampton, MA",www.smith.edu/,www.smithpioneers.com,627_627.site.png
Amherst College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Amherst, MA",www.amherst.edu,www.athletics.amherst.edu/landing/index,
"University of Massachusetts, Amherst",Division I,Division I,DI FBS,Active Member,Atlantic 10 Conference,Atlantic 10 Conference,Non-HBCU,Public,Research Universities,"Amherst, MA",www.umass.edu/,www.umassathletics.com,630_630.favicon.ico
Anna Maria College,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Paxton, MA",www.annamaria.edu,www.annamaria.edu/athletics/,
Worcester Polytechnic Institute,Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Research Universities,"Worcester, MA",www.wpi.edu/,www.wpi.edu/athletics,
Clark University (Massachusetts),Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Research Universities,"Worcester, MA",www.clarku.edu,www.clarku.edu/departments/athletics,
Boston College,Division I,Division I,DI FBS,Active Member,Atlantic Coast Conference,Atlantic Coast Conference,Non-HBCU,Private,Research Universities,"Chestnut Hill, MA",www.bc.edu,www.bceagles.com,637_637.site.png
Pine Manor College,Division III,Division III,Non-DI,Active Member,American Collegiate Athletic Association,American Collegiate Athletic Association,Non-HBCU,Private,Baccalaureate Colleges,"Chestnut Hill, MA",www.pmc.edu/,www.pmc.edu/athletics,
Simmons University,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Research Universities,"Boston, MA",www.simmons.edu/,www.simmons.edu/athletics,641_641.favicon-194x194.png
University of Massachusetts Boston,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Research Universities,"Boston, MA",www.beaconsathletics.com,www.umb.edu/,642_642.site.png
Boston University,Division I,Division I,DI Subdivision,Active Member,Patriot League,Patriot League,Non-HBCU,Private,Research Universities,"Boston, MA",goterriers.com,www.bu.edu,646_646.site.png
Harvard University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Boston, MA",www.gocrimson.com,www.harvard.edu,648_648.site.png
Bentley University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Waltham, MA",www.bentley.edu,www.bentley.edu/athletics,651_651.favicon-194x194.png
